기업명,분기,변동성_일간,변동성_연율화,평균수익률,누적수익률,거래일수
삼성에스디에스,2025Q3,0.01985,0.3151,-0.000506,-0.0324,64
삼성에스디에스,2025Q4,0.0243,0.3858,0.001057,0.0624,59
KT,2023Q1,0.014181,0.2251,-0.001616,-0.0985,61
KT,2023Q2,0.010653,0.1691,0.000194,0.0118,61
KT,2023Q3,0.013751,0.2183,0.001718,0.1065,62
KT,2023Q4,0.010331,0.164,0.001565,0.0939,60
KT,2024Q1,0.017571,0.2789,0.001715,0.1046,61
KT,2024Q2,0.013485,0.2141,9.2e-05,0.0055,60
KT,2024Q3,0.01652,0.2622,0.00136,0.0843,62
KT,2024Q4,0.022163,0.3518,0.001425,0.0869,61
KT,2025Q1,0.013697,0.2174,0.002514,0.1458,58
KT,2025Q2,0.015972,0.2535,0.001933,0.116,60
KT,2025Q3,0.013485,0.2141,-0.001361,-0.0871,64
KT,2025Q4,0.013008,0.2065,0.000899,0.053,59
LG생활건강,2023Q1,0.021824,0.3464,-0.002989,-0.1823,61
LG생활건강,2023Q2,0.021544,0.342,-0.004391,-0.2679,61
LG생활건강,2023Q3,0.031017,0.4924,-0.000445,-0.0276,62
LG생활건강,2023Q4,0.03477,0.552,-0.003654,-0.2193,60
LG생활건강,2024Q1,0.023793,0.3777,0.001116,0.0681,61
LG생활건강,2024Q2,0.025109,0.3986,-0.001586,-0.0952,60
LG생활건강,2024Q3,0.024503,0.389,0.001493,0.0925,62
LG생활건강,2024Q4,0.022899,0.3635,-0.003561,-0.2172,61
LG생활건강,2025Q1,0.017585,0.2792,0.000603,0.035,58
LG생활건강,2025Q2,0.019552,0.3104,0.000369,0.0222,60
LG생활건강,2025Q3,0.014772,0.2345,-0.001678,-0.1074,64
LG생활건강,2025Q4,0.013222,0.2099,-0.001713,-0.1011,59
아모레퍼시픽,2023Q1,0.023881,0.3791,0.000217,0.0132,61
아모레퍼시픽,2023Q2,0.021378,0.3394,-0.005535,-0.3376,61
아모레퍼시픽,2023Q3,0.027447,0.4357,0.003599,0.2231,62
아모레퍼시픽,2023Q4,0.027865,0.4423,0.002989,0.1793,60
아모레퍼시픽,2024Q1,0.028458,0.4517,-0.002912,-0.1776,61
아모레퍼시픽,2024Q2,0.028492,0.4523,0.005345,0.3207,60
아모레퍼시픽,2024Q3,0.050331,0.799,-0.00201,-0.1246,62
아모레퍼시픽,2024Q4,0.027024,0.429,-0.005625,-0.3431,61
아모레퍼시픽,2025Q1,0.025168,0.3995,-0.000386,-0.0224,58
아모레퍼시픽,2025Q2,0.026574,0.4218,0.004979,0.2987,60
아모레퍼시픽,2025Q3,0.015419,0.2448,-0.001739,-0.1113,64
아모레퍼시픽,2025Q4,0.017888,0.284,-0.000393,-0.0232,59
CJ제일제당,2023Q1,0.01412,0.2241,-0.00231,-0.1409,61
CJ제일제당,2023Q2,0.015042,0.2388,-0.00306,-0.1867,61
CJ제일제당,2023Q3,0.018478,0.2933,0.002155,0.1336,62
CJ제일제당,2023Q4,0.01388,0.2203,0.000898,0.0539,60
CJ제일제당,2024Q1,0.01435,0.2278,-0.001399,-0.0853,61
CJ제일제당,2024Q2,0.022977,0.3648,0.004558,0.2735,60
CJ제일제당,2024Q3,0.021376,0.3393,-0.003779,-0.2343,62
CJ제일제당,2024Q4,0.022587,0.3586,-0.002849,-0.1738,61
CJ제일제당,2025Q1,0.019756,0.3136,-0.000408,-0.0237,58
CJ제일제당,2025Q2,0.019784,0.3141,0.000277,0.0166,60
CJ제일제당,2025Q3,0.014969,0.2376,-0.001104,-0.0707,64
CJ제일제당,2025Q4,0.01067,0.1694,-0.001621,-0.0956,59
오리온,2023Q1,0.017144,0.2721,0.001389,0.0848,61
오리온,2023Q2,0.02159,0.3427,-0.002124,-0.1296,61
오리온,2023Q3,0.02003,0.318,0.001079,0.0669,62
오리온,2023Q4,0.019968,0.317,-0.001484,-0.089,60
오리온,2024Q1,0.029597,0.4698,-0.003993,-0.2436,61
오리온,2024Q2,0.020361,0.3232,0.000218,0.0131,60
오리온,2024Q3,0.016662,0.2645,0.000901,0.0559,62
오리온,2024Q4,0.017183,0.2728,0.000804,0.049,61
오리온,2025Q1,0.017037,0.2705,0.00285,0.1653,58
오리온,2025Q2,0.015168,0.2408,-0.001339,-0.0803,60
오리온,2025Q3,0.014064,0.2233,-0.000765,-0.049,64
오리온,2025Q4,0.012962,0.2058,0.00034,0.0201,59
BGF리테일,2023Q1,0.011318,0.1797,-0.001736,-0.1059,61
BGF리테일,2023Q2,0.018012,0.2859,-0.000625,-0.0381,61
BGF리테일,2023Q3,0.017689,0.2808,-0.003475,-0.2155,62
BGF리테일,2023Q4,0.025292,0.4015,-0.000673,-0.0404,60
BGF리테일,2024Q1,0.017859,0.2835,-0.001793,-0.1093,61
BGF리테일,2024Q2,0.017855,0.2834,-0.002175,-0.1305,60
BGF리테일,2024Q3,0.01889,0.2999,0.001688,0.1047,62
BGF리테일,2024Q4,0.020665,0.328,-0.001844,-0.1125,61
BGF리테일,2025Q1,0.014884,0.2363,0.001812,0.1051,58
BGF리테일,2025Q2,0.029104,0.462,0.00168,0.1008,60
BGF리테일,2025Q3,0.016157,0.2565,-0.001776,-0.1137,64
BGF리테일,2025Q4,0.012896,0.2047,-0.00051,-0.0301,59
GS리테일,2023Q1,0.019148,0.304,0.000351,0.0214,61
GS리테일,2023Q2,0.014881,0.2362,-0.0035,-0.2135,61
GS리테일,2023Q3,0.018378,0.2917,0.00052,0.0322,62
GS리테일,2023Q4,0.015271,0.2424,-7.6e-05,-0.0046,60
GS리테일,2024Q1,0.01147,0.1821,-0.002083,-0.127,61
GS리테일,2024Q2,0.023434,0.372,0.000446,0.0267,60
GS리테일,2024Q3,0.018573,0.2948,0.000382,0.0237,62
GS리테일,2024Q4,0.055279,0.8775,-0.007915,-0.4828,61
GS리테일,2025Q1,0.01483,0.2354,-0.001964,-0.1139,58
GS리테일,2025Q2,0.026187,0.4157,0.002583,0.155,60
GS리테일,2025Q3,0.01538,0.2441,0.0,0.0,64
GS리테일,2025Q4,0.023193,0.3682,0.003192,0.1883,59
이마트,2023Q1,0.019898,0.3159,0.001769,0.1079,61
이마트,2023Q2,0.015264,0.2423,-0.005199,-0.3172,61
이마트,2023Q3,0.017811,0.2827,-0.001424,-0.0883,62
이마트,2023Q4,0.017199,0.273,0.001407,0.0844,60
이마트,2024Q1,0.028978,0.46,-0.002025,-0.1235,61
이마트,2024Q2,0.014832,0.2355,-0.002525,-0.1515,60
이마트,2024Q3,0.022924,0.3639,0.000753,0.0467,62
이마트,2024Q4,0.029066,0.4614,0.001124,0.0685,61
이마트,2025Q1,0.023568,0.3741,0.004245,0.2462,58
이마트,2025Q2,0.028241,0.4483,0.001277,0.0766,60
이마트,2025Q3,0.024579,0.3902,-0.001925,-0.1232,64
이마트,2025Q4,0.020496,0.3254,0.001254,0.074,59
롯데쇼핑,2023Q1,0.013315,0.2114,-0.001745,-0.1065,61
롯데쇼핑,2023Q2,0.012051,0.1913,-0.002905,-0.1772,61
롯데쇼핑,2023Q3,0.018563,0.2947,0.000668,0.0414,62
롯데쇼핑,2023Q4,0.014272,0.2266,0.001597,0.0958,60
롯데쇼핑,2024Q1,0.023629,0.3751,-0.000624,-0.038,61
롯데쇼핑,2024Q2,0.013312,0.2113,-0.00214,-0.1284,60
롯데쇼핑,2024Q3,0.019032,0.3021,-0.000516,-0.032,62
롯데쇼핑,2024Q4,0.019857,0.3152,-0.002102,-0.1282,61
롯데쇼핑,2025Q1,0.019109,0.3034,0.003005,0.1743,58
롯데쇼핑,2025Q2,0.02806,0.4454,0.00364,0.2184,60
롯데쇼핑,2025Q3,0.015734,0.2498,-0.000733,-0.0469,64
